Default,Age,ActiveLoans,Due90Days,RealEstateLoans,CrLineUtilization
0,50,5,0,1,-1.969432312
0,38,6,0,1,-2.647896278
1,47,6,0,2,0.045260131
0,63,9,0,2,-1.127938118
0,42,7,0,3,-1.008954417
0,54,9,0,2,-0.449887326
0,63,8,0,1,-2.508380006
0,29,3,0,1,-3.863232841
0,36,8,0,0,-1.77136878
0,33,7,0,3,-0.25902983
0,72,4,0,0,-2.893175685
0,29,2,0,0,0
0,53,11,0,3,-1.79275997
0,79,9,0,1,-4.755993076
0,58,11,0,2,-2.000260744
0,69,10,0,1,-1.786175091
0,69,0,1,0,0
0,75,9,0,0,-2.683845512
0,41,6,0,1,-1.969432312
1,35,6,0,1,-0.054456186
0,46,22,0,2,-0.903374507
0,65,6,0,1,-2.891372258
0,55,10,1,1,-0.391266389
0,55,11,0,1,-1.687399454
1,51,11,0,1,-2.461580824
1,25,3,0,0,-1.969432312
1,44,7,2,0,-0.240162556
0,86,3,0,0,-4.491841501
0,56,7,0,2,-3.262305383
0,55,12,0,2,-0.335472736
0,64,14,0,2,-3.146555163
0,53,7,1,1,0.090845683
0,49,11,0,1,-1.969432312
0,55,5,0,0,0
0,80,9,0,0,-2.288682188
1,38,13,0,0,-3.65351231
0,44,5,0,1,-0.271546291
0,40,7,0,0,-1.462311848
0,35,6,0,0,-2.163693094
0,69,9,0,1,-3.338222583
0,64,4,0,1,-3.092243174
0,61,12,0,2,-1.164752091
0,46,6,0,1,-2.542112124
0,49,11,0,2,-1.983404353
0,64,8,0,1,-3.499913355
0,40,12,0,5,-3.816712826
0,27,4,0,0,-0.812606621
0,60,8,0,1,-4.892852258
0,92,13,0,0,-3.066154738
0,50,8,0,2,-1.229632551
0,64,14,0,2,-1.569736546
0,66,4,1,0,0
0,53,8,0,1,-4.305065594
0,62,1,0,0,0
1,63,19,0,2,-0.422662133
0,50,4,0,1,0
0,61,12,0,0,-3.571985703
0,42,3,0,1,-1.501929705
0,63,4,0,2,-0.52087596
0,73,12,0,1,-4.045554398
0,72,3,0,1,-0.491186409
0,52,15,0,2,-1.099312534
0,45,4,0,1,-4.710530702
0,44,11,0,1,-1.345920467
0,63,19,0,2,-0.785262469
0,37,7,0,1,-2.521985658
1,38,5,0,0,0.669622636
0,36,7,0,1,-1.705948813
0,41,5,0,1,-1.916642651
0,63,8,0,1,-3.665162927
0,76,3,0,0,-1.969432312
0,43,10,0,1,-1.627601883
0,64,6,0,1,-2.478129666
0,67,9,0,2,-3.358137892
0,52,12,0,0,-0.238891908
0,66,8,0,1,-1.969432312
0,55,3,0,2,-2.076246651
0,42,17,0,2,-2.806766174
0,28,0,0,0,0
0,47,6,0,2,-1.21773372
1,61,11,0,0,-0.02706292
0,73,10,0,0,-5.843044542
0,58,10,0,2,-0.13056437
0,68,0,0,0,0
0,41,3,0,1,-2.929944533
0,44,15,0,1,-0.311018938
0,42,26,0,2,-2.474560358
0,40,20,0,2,-2.166307475
0,78,12,0,0,-4.406319327
0,81,4,0,0,-2.509609262
0,49,9,0,2,-2.321767912
1,58,12,0,0,0.047074407
0,54,8,0,1,-4.431216879
0,33,6,0,0,-0.284221401
0,53,9,0,1,-2.186581417
0,23,1,0,0,-1.969432312
0,49,7,0,0,-0.45523325
0,44,4,0,1,-1.859182146
0,63,9,0,0,-1.969432312
0,42,5,0,0,-2.401301066
0,65,4,0,1,-3.363901597
0,54,6,0,1,-3.597212266
0,28,5,0,0,-0.885761527
0,78,6,0,1,-3.700952035
0,66,12,0,1,-3.064011114
0,32,6,0,0,-0.023780529
0,43,11,0,1,-4.828313737
0,59,13,0,2,-1.318635713
0,76,9,0,0,-3.922073341
0,68,6,0,1,-4.565949473
0,61,3,0,1,0
0,68,12,0,1,-3.513246885
0,57,17,0,1,-1.705398304
0,68,10,0,1,-2.968117107
0,57,11,0,2,-1.22894879
1,46,5,0,0,-1.510497965
0,69,3,0,1,-4.815891217
0,44,4,0,2,-1.969432312
0,28,8,0,0,-5.099466508
0,53,16,0,1,-0.094860281
0,40,9,0,1,-0.060705875
0,36,10,0,2,-0.008334637
0,42,11,0,1,-0.368892128
0,64,6,0,1,-2.181252808
0,57,16,0,3,-1.343234872
0,62,11,0,1,-3.032396258
0,47,2,2,0,0
0,62,3,0,0,0
0,49,11,0,2,-2.599644327
0,66,9,0,1,-1.93171143
0,54,10,0,2,-1.655481851
0,56,9,0,1,-1.516858731
0,83,6,0,2,-0.385956642
0,45,7,0,2,7.757906208
0,29,9,0,1,-0.989130278
0,67,13,0,1,-3.65351231
0,29,5,0,0,-0.60166249
0,46,14,0,2,-1.303056763
0,25,5,0,0,-2.462753845
0,68,8,0,2,-0.108476476
0,33,3,0,1,-1.351313392
0,55,8,0,0,-1.969432312
0,46,10,0,1,-3.327017983
0,66,2,0,0,0
0,66,8,1,1,-0.765287858
0,48,1,0,0,-0.144563451
0,52,11,0,1,-0.361831071
0,32,5,1,0,-0.607887337
0,51,14,0,0,-2.510840032
0,27,5,0,0,-0.052557251
0,32,10,0,1,-1.969432312
0,30,5,0,0,-4.098352584
0,37,6,0,1,-2.75986995
0,49,10,0,0,-2.368724895
0,37,5,0,1,-1.969432312
0,36,10,0,2,-0.31429987
0,62,15,0,1,-0.852377406
0,57,3,0,0,-0.05234648
0,59,7,0,0,-1.969432312
0,38,8,1,0,0.002596626
0,92,3,0,0,-4.104394898
0,58,13,0,3,-3.155901026
0,37,16,0,1,-3.776618368
0,63,9,0,0,-1.259485514
0,32,12,0,8,-1.140059479
0,52,15,0,2,-1.863040671
0,43,21,0,2,-4.335143049
0,29,3,0,0,-2.698595042
0,45,9,0,1,-1.258077063
0,38,6,0,1,-0.318003832
0,62,15,0,0,-0.374257181
0,29,0,0,0,0
0,41,9,0,1,-3.390257442
0,29,7,0,0,-1.969432312
1,47,11,0,1,-3.291446518
0,55,4,0,2,-1.969432312
0,87,4,0,0,-2.926206211
0,41,7,0,1,-2.294616923
0,61,11,0,2,-1.969432312
0,28,6,0,0,-0.916540763
0,43,9,0,0,-2.943139823
0,71,8,0,2,-2.62693115
0,46,6,0,1,-1.589635285
0,30,1,0,0,0
1,43,6,0,1,-0.127378929
0,59,17,0,1,-0.845832268
0,47,2,0,1,-1.969432312
0,61,15,0,0,-3.005782609
0,72,6,0,1,-1.019154367
0,50,9,0,1,-1.091537375
1,68,27,0,3,-0.453028525
0,58,20,0,5,-1.969432312
0,69,10,2,0,-0.677273831
0,71,5,0,0,-1.403237082
1,48,5,1,2,-0.047825629
0,37,2,0,0,0
0,50,7,0,1,-2.129472475
0,38,3,0,1,-0.461876742
0,35,1,0,1,0
0,59,12,0,1,-3.561366134
0,67,9,0,0,-1.942117351
0,30,7,0,2,-1.678252228
0,56,12,0,1,-0.700373226
0,51,16,0,2,-0.781978394
0,40,10,0,2,-0.317179543
0,28,4,0,0,-0.054139446
0,54,7,0,0,-4.275866439
0,46,6,0,2,-2.713565382
0,57,5,0,2,-0.687165109
0,35,8,0,2,0.046406373
0,79,11,0,0,-4.374058465
0,46,6,0,2,-0.609909582
0,79,7,0,1,-3.626844063
0,64,29,0,1,-2.497384171
0,74,3,0,0,-1.229290612
0,64,20,0,1,-3.721402646
0,63,6,0,2,-3.042823881
1,63,12,0,0,-0.302322049
0,54,7,0,1,-1.677181565
0,63,13,0,2,-4.892852258
0,45,13,0,1,-0.649513144
0,22,0,0,0,0
0,66,12,0,0,-0.559315833
0,57,10,0,0,-0.101811266
0,43,6,0,0,-4.074541935
0,61,8,0,0,-2.801811581
0,54,13,0,1,-7.418580903
0,90,11,0,1,-5.546778726
0,60,26,0,0,-1.386294361
0,34,3,0,0,-0.762926075
0,38,2,0,0,-2.166307475
0,60,0,0,0,0
0,76,12,0,0,-1.317141502
0,76,7,0,0,-3.516608233
0,39,6,0,1,-1.18678798
0,83,4,0,0,-7.264430223
0,63,8,0,2,-0.353109878
0,52,10,0,2,-0.297867098
1,58,5,1,0,-0.220148042
0,42,3,3,0,0
0,63,9,0,1,-2.008424054
0,58,17,0,0,-5.952243834
0,62,5,0,0,-2.421368629
0,46,12,1,4,-1.590125601
0,27,5,0,0,-5.005647753
0,27,4,0,1,-4.268697949
0,35,1,0,0,0
0,55,18,0,2,-0.997229674
0,73,13,0,0,-2.907721396
0,51,19,0,4,-1.717580071
0,36,6,0,2,-3.615628992
0,56,8,0,3,-1.325387426
0,59,13,0,2,-1.969432312
0,49,12,0,1,-4.439655748
0,64,6,0,0,-2.647896278
0,56,11,0,1,-3.473768074
0,37,5,0,0,-1.93171143
0,48,17,0,1,-1.041287222
0,36,5,0,1,-3.907035464
0,70,11,0,1,-3.417326764
1,49,20,0,2,-0.309382499
0,57,12,0,2,-2.756715373
0,39,14,0,1,-3.454598158
1,61,11,2,3,-0.008536331
0,38,6,0,1,-0.922057327
0,24,3,0,0,-0.029016949
0,33,3,0,1,0
0,73,18,0,0,-1.969432312
0,79,6,0,1,0
0,81,1,0,0,-5.546778726
0,55,7,0,2,-4.51899249
0,57,6,1,1,-0.376731889
0,58,10,0,1,-1.548813291
0,52,4,0,0,-4.96184513
0,51,9,0,1,-2.61319467
0,63,22,1,2,-0.839561199
0,97,2,0,0,-4.96184513
0,56,2,0,0,-4.247495742
0,41,8,0,3,-3.615628992
0,43,9,0,1,-1.213686497
0,56,3,0,1,-1.15169666
0,59,2,0,1,-1.969432312
0,40,7,0,0,-0.080451124
0,74,9,0,1,-2.973970782
0,49,18,0,2,-1.141937413
0,68,28,0,1,-4.744432253
0,57,8,0,3,-1.969432312
0,48,10,0,1,-1.411817318
0,40,3,2,0,0
0,23,1,0,0,-1.969432312
0,52,7,0,0,-3.543913684
0,48,3,0,1,-3.375529635
0,55,5,0,2,-0.686568865
0,61,19,0,3,-0.223143551
0,33,7,0,0,-2.659260037
0,69,5,0,1,-2.689719244
0,39,7,0,1,-0.300294611
0,84,6,0,0,-3.755019257
0,32,1,0,0,0
0,78,8,0,1,-5.626821434
0,61,23,0,2,-2.382711137
0,37,5,0,1,-1.969432312
0,33,2,2,1,0
0,81,13,0,0,-2.849037894
0,60,14,0,1,-2.549765222
0,46,15,0,2,-1.599982754
0,57,19,0,0,-2.551046452
0,57,8,0,1,-1.581336482
1,32,1,0,0,0
1,42,8,0,0,-0.544899604
0,38,9,0,2,-2.611831343
0,82,3,0,1,-2.53577898
0,33,9,0,0,-2.615926912
0,68,4,0,1,-0.29410264
0,52,6,1,1,-2.293625352
0,46,1,0,0,-1.05641524
0,66,4,0,0,-2.282782466
0,57,4,0,1,-1.03817592
0,50,15,3,4,-3.519980918
0,34,3,1,0,-0.615815838
0,53,17,0,2,-0.44488184
0,76,7,0,1,-2.842153186
0,64,5,0,1,-0.329476762
0,72,8,0,0,-3.101092789
0,48,17,0,2,-1.033105486
0,71,14,0,2,-0.548873691
0,59,11,0,1,-4.193060535
0,53,14,0,1,-1.137561039
0,34,4,0,0,-3.044922518
0,51,11,0,0,-1.752154215
0,55,11,0,0,-0.911800827
0,46,10,0,1,-1.199980783
0,27,5,2,0,-1.969432312
0,43,4,0,2,-2.695627681
0,75,4,0,0,-1.969432312
0,31,6,0,0,-0.006722546
0,43,9,0,5,-1.974721231
0,51,13,0,2,-1.641961104
0,28,8,1,0,-6.812445099
0,51,5,0,0,-0.722370039
0,55,11,0,2,-0.020713042
0,69,2,0,0,-2.401301066
0,42,5,0,1,-0.95503156
0,33,9,0,1,-1.694451287
0,60,4,0,0,-4.011843341
1,54,2,0,0,0
0,48,7,0,1,-1.236840408
0,49,5,0,0,-2.952672784
0,73,2,0,0,0
0,91,3,0,0,0
0,66,7,1,0,-0.885034342
0,49,15,0,2,-2.394700382
0,46,10,0,1,-0.692747261
1,37,16,0,3,-0.090909875
0,54,8,0,1,-2.87528612
0,22,4,0,0,-0.49200387
0,31,10,0,0,-2.724179583
0,39,8,0,1,-0.693747361
0,56,1,0,0,0
0,44,17,0,2,-1.239599982
1,50,8,0,1,-0.205549243
0,55,3,0,0,-4.110473944
0,52,5,0,1,-2.544656654
0,58,19,0,1,-3.516608233
0,62,5,0,0,-4.374058465
0,42,6,0,1,-2.77900929
0,47,4,0,1,-2.600991129
0,42,18,0,2,-0.594388409
1,39,9,0,0,-0.446130865
0,45,11,0,2,-0.541628533
0,82,3,0,0,-1.969432312
0,64,3,0,2,-1.969432312
0,55,5,0,0,-1.16443163
0,58,12,0,1,-1.32275634
0,35,8,0,2,-3.213888283
0,62,7,0,2,-0.288215548
1,52,11,0,3,-0.045520515
0,40,8,0,1,-2.446455463
0,57,17,0,2,-1.547402522
0,45,10,0,1,-0.046672408
0,27,6,0,1,-1.669718843
0,24,4,1,0,0.219777894
0,37,9,0,1,-4.268697949
0,36,16,0,2,-1.109875481
0,40,9,0,2,-0.725463782
0,86,9,0,0,-1.969432312
0,56,11,0,0,-3.349554149
0,59,9,0,2,-2.467459736
0,40,6,0,3,0
0,49,3,0,0,-1.881903019
0,66,10,0,1,-1.546932707
0,63,5,0,1,0
0,45,2,0,0,0
0,30,1,0,0,-1.969432312
0,36,10,0,1,-0.551126921
0,39,4,0,0,-0.895998029
0,27,5,0,0,-1.969432312
0,44,8,0,3,-2.236797352
0,34,2,0,0,-5.381698975
0,59,8,0,1,-1.282294771
0,38,4,0,0,-1.254214021
0,38,6,0,1,-1.81954185
0,39,5,2,2,-0.560891601
0,43,8,0,1,-0.474011651
0,57,16,0,1,-2.178599113
0,75,4,0,1,-1.969432312
0,29,10,0,1,-0.311018938
0,55,10,0,2,-0.720107362
0,60,11,0,1,-0.536485371
0,37,5,0,0,-0.133074354
0,69,7,0,1,-3.125840959
0,48,10,0,2,-3.23653076
1,89,9,3,0,-1.080281332
0,56,10,0,1,-2.736449676
0,75,5,0,0,-4.744432253
0,55,1,0,0,0
0,63,16,0,1,-0.685972977
0,49,10,0,1,-8.111728083
0,31,10,0,0,-0.35982275
0,61,10,0,1,-0.430167721
0,46,12,0,1,-1.195674002
0,40,1,2,0,0
0,91,6,0,0,-1.838222344
0,46,5,0,0,-0.263314716
0,56,5,0,1,-1.860466667
0,29,8,0,1,-0.178767879
0,45,5,0,1,-1.22758267
0,49,1,0,0,0
0,64,3,0,1,-1.302320927
0,51,6,0,1,-1.969432312
0,45,5,0,0,-1.231001477
0,78,9,0,0,-2.239610294
0,36,6,0,2,-1.38309947
0,54,9,0,1,-1.705948813
0,67,14,0,5,-5.80914299
0,63,4,0,0,-3.017977883
1,61,20,0,2,-0.659712404
0,86,6,0,0,-3.725543438
0,50,6,0,1,-2.095570924
1,51,12,0,1,-0.949072221
0,70,11,0,1,-3.830443018
0,44,7,0,0,-1.311929279
0,39,17,0,0,-0.003706862
0,49,6,0,3,-3.952845
0,58,17,0,5,-4.744432253
0,39,13,0,0,-1.8598242
0,33,7,1,0,-0.309382499
0,53,10,0,2,-1.558744798
0,36,4,0,0,-2.347582459
0,62,15,0,2,-2.081042823
0,62,4,0,0,-4.074541935
0,29,6,0,0,-0.036663984
0,44,13,1,0,-1.554949727
0,32,11,0,2,-1.690105816
0,52,5,0,2,-1.969432312
0,69,2,0,0,-2.446455463
0,71,3,0,1,-2.672200548
0,63,10,0,2,-1.676112046
0,44,26,0,0,-0.311701578
0,54,18,0,2,-0.93623837
0,41,8,0,0,-2.753570716
0,32,10,0,0,-0.482886255
0,87,23,0,0,-1.243060193
0,43,5,0,1,-1.509140191
0,47,1,0,0,-1.641961104
0,75,8,0,1,-4.240527072
0,64,19,0,3,-0.63111179
0,41,13,0,3,-1.058430499
0,30,6,0,1,-3.717278929
0,40,2,0,2,0
0,56,2,0,0,-1.969432312
0,55,6,0,1,-0.417790758
0,36,8,0,1,-2.256656161
0,57,13,0,3,-3.064011114
0,56,13,0,1,-2.849037894
0,49,18,0,0,-0.124203603
0,53,4,0,0,-5.240048458
0,51,12,0,1,-2.421368629
0,64,13,0,1,-3.849048206
0,28,7,0,0,-1.266202881
0,54,5,0,2,-2.763034509
0,53,5,0,1,-1.969432312
1,37,16,0,2,-0.9105572
0,70,16,0,5,-1.942814944
0,48,13,0,2,-1.095716486
0,52,6,0,1,-4.565949473
0,36,2,0,0,-1.088859997
0,51,5,0,1,-3.10554714
0,69,6,0,0,-4.86653495
0,52,8,0,1,0.011236632
0,67,7,0,0,-2.706052198
0,36,4,0,1,-1.969432312
0,49,10,0,1,-1.969432312
1,51,13,0,2,-1.156135475
1,36,9,0,3,-1.901797574
0,33,9,0,0,-1.969432312
0,62,15,0,1,-3.275446176
0,69,10,0,0,-1.269044801
0,70,9,0,2,-5.259096653
0,49,7,0,0,-2.012156795
0,46,6,0,1,-1.134757735
0,65,10,0,1,-1.969432312
0,56,8,0,0,-0.189708775
0,51,11,0,0,-0.814637078
0,57,15,0,0,-3.684887433
0,48,10,0,1,-0.546798284
0,47,6,0,1,-3.877621579
1,33,3,2,0,0.22218309
0,75,2,0,0,0
0,40,18,0,1,-0.562469857
0,40,7,0,1,-0.088940509
0,68,12,0,0,-3.262305383
0,35,10,3,0,-0.036041771
0,65,6,0,0,-3.600868577
0,81,7,0,0,-3.335409641
0,52,7,0,1,-5.381698975
0,69,4,0,0,-3.158251203
0,34,5,0,2,-2.1086644
0,40,15,0,2,-1.713687934
0,35,10,0,2,-2.90224193
0,80,3,0,0,-2.305589602
0,68,6,0,0,-3.490028595
0,47,9,0,0,-1.740686199
0,64,16,0,0,-3.917035547
1,36,4,0,0,-0.009242581
0,49,17,0,0,-0.951658876
0,55,8,0,1,-4.791499764
0,35,6,0,2,-2.835315552
0,63,5,0,0,-2.395797475
0,64,16,0,3,-3.767922661
0,64,7,0,0,-2.48410697
0,26,1,0,0,-0.636010989
0,77,21,0,1,-1.646620704
0,32,1,2,0,0
0,54,22,0,1,-1.023319305
0,40,17,0,3,-2.239610294
0,53,9,0,1,-2.531998257
1,58,8,1,1,7.63336965
0,50,4,0,1,-4.390058806
0,56,2,0,0,0
0,75,11,0,2,-5.546778726
0,36,5,0,0,-0.653157532
0,33,13,0,0,-1.826972225
0,52,13,0,1,-1.37634403
0,62,9,0,4,-3.33260459
0,60,13,0,2,-3.064011114
0,52,5,0,0,-4.645992181
0,36,8,0,2,-0.013693327
0,71,7,0,1,-2.3816283
0,83,10,0,0,-6.907755279
0,76,6,0,0,-1.969432312
0,40,12,0,0,-3.090042953
0,46,21,0,1,-1.403643999
0,78,5,0,0,-1.23031678
0,36,1,0,1,0
0,76,11,0,1,-4.128936007
0,41,4,0,0,-0.275358323
0,60,2,0,0,-1.662311402
0,63,12,0,1,-3.013896244
0,52,7,0,0,0.151174828
0,58,5,0,3,-1.435484605
0,56,16,0,1,-0.889405403
0,33,4,0,1,-0.741287556
0,64,4,0,0,-0.980829253
0,33,9,0,0,-2.152442435
0,40,13,0,0,-3.989984547
0,56,15,0,2,-1.368454443
0,60,11,0,3,-4.297685486
0,27,3,0,0,0
0,41,5,0,1,-3.53358657
0,48,4,0,1,-0.01501212
0,69,20,0,2,-4.431216879
0,39,13,0,2,-1.969432312
0,36,28,0,0,-1.161871628
0,34,8,0,1,-0.335612606
0,50,15,0,1,-2.798522104
0,79,8,0,2,-1.952632695
0,54,4,0,0,-2.614559858
0,36,8,0,0,-0.747181069
1,39,14,0,2,-0.012376271
0,35,7,0,2,-2.793608089
0,38,8,1,0,-0.743809095
0,52,9,0,1,-1.411407062
0,24,3,0,0,-0.475619368
0,76,8,0,0,-2.469821012
0,41,6,0,0,-0.127606125
0,74,6,0,0,-2.439550948
0,47,12,0,2,-2.191938573
0,57,11,0,2,-1.969432312
0,63,3,0,0,-1.969432312
0,62,4,0,0,-1.969432312
0,39,6,0,1,-0.4167283
0,51,21,0,2,-2.292634762
0,60,12,0,1,-0.751200112
0,68,6,0,2,-1.492544161
0,63,18,0,2,-1.386694441
0,55,7,0,3,-1.969432312
0,58,7,0,1,-2.713565382
0,55,8,0,1,-3.661264287
0,33,8,1,1,-0.103695236
1,58,13,1,2,-3.759301918
0,55,9,0,1,-3.026191481
0,44,10,0,2,-2.558768498
0,57,12,0,1,-2.494956986
0,65,3,0,0,0
0,56,11,0,0,-1.9618363
0,25,1,0,0,-1.029179514
0,89,4,0,0,-6.165817934
1,32,5,0,1,-1.969432312
0,48,9,0,2,-2.62554898
0,38,4,0,0,-1.475781528
0,58,5,0,1,-1.969432312
0,59,8,2,1,-1.969432312
0,32,1,0,0,0
0,50,13,0,0,-4.179902451
0,26,7,0,0,-2.826833737
0,55,8,0,0,-1.551640814
0,82,4,0,0,-4.219907785
0,62,9,0,1,-3.942482213
0,46,6,0,1,-4.406319327
0,66,7,1,2,-0.086211697
0,46,10,0,2,-0.333656205
0,59,4,0,0,-7.60090246
0,29,4,0,0,-5.36019277
0,39,14,1,2,-0.8495671
0,36,3,0,1,-0.017654935
0,71,4,0,1,-2.482908647
0,82,6,0,0,-4.51899249
0,26,7,0,0,-4.22673375
1,58,20,0,0,0.008464078
0,68,8,0,1,-0.62064049
0,42,11,0,2,-0.005615739
0,58,2,0,0,-0.586807145
1,26,1,2,0,0.229125623
0,33,3,0,0,-3.454598158
0,51,5,0,0,-1.03817592
0,60,9,0,1,-2.582298996
0,29,8,0,1,-5.80914299
0,79,5,0,0,-3.892220378
0,27,21,0,1,-3.087847562
1,50,8,0,1,-0.037805715
0,31,5,0,0,-1.831332244
0,45,11,0,4,-1.969432312
0,26,10,0,0,-2.697110261
0,63,2,0,0,-2.006934851
0,40,0,0,0,0
0,57,10,0,1,-4.327538449
0,54,11,0,0,-7.824046011
0,33,4,0,0,-0.025215249
0,54,9,0,1,-1.364141556
0,24,1,0,0,0
0,41,8,0,4,-0.381699755
0,47,6,0,0,-2.286711744
0,76,15,0,1,-4.335143049
0,87,2,0,0,-1.969432312
0,34,11,0,1,-3.206453305
0,46,11,0,0,-1.969432312
0,82,7,0,0,-4.312500572
0,48,0,1,0,0
0,83,9,0,0,-1.615455985
0,86,6,0,0,-2.926206211
0,56,6,0,1,-1.720369473
0,90,3,0,0,-1.969432312
0,73,11,0,0,-5.626821434
0,33,8,0,2,-0.334494194
0,85,5,0,0,-4.482952553
0,45,19,0,1,-1.844527535
0,56,5,0,0,-0.467925789
0,31,9,0,1,-1.969432312
0,30,9,0,2,-0.728359936
0,32,6,0,0,-0.644547511
0,40,6,0,2,-1.09243143
0,79,10,0,0,-6.265901393
0,37,5,0,1,-1.447319063
0,63,6,0,1,-1.969432312
